gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,No,25,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),70.39,1694.04,No
Female,0,Yes,No,65,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Mailed check,83.9,5428.32,No
Female,0,Yes,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,84.14,Yes
Male,0,Yes,No,65,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),82.98,5484.25,Yes
Female,0,No,No,8,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,No,Mailed check,49.68,311.23,No
Female,0,Yes,No,39,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,63.36,2482.76,No
Female,0,No,Yes,43,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),94.04,4038.47,No
Female,0,Yes,Yes,5,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,88.73,341.12,No
Male,0,Yes,Yes,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,118.3,Yes
Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),86.18,44.0,Yes
Female,0,Yes,No,56,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,83.62,4745.04,Yes
Male,0,No,No,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,89.86,4002.06,Yes
Male,0,Yes,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,29.3,1880.53,No
Male,0,No,No,3,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Mailed check,84.3,314.09,No
Female,0,No,No,22,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),61.22,1313.36,Yes
Female,0,No,No,72,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),52.13,3781.9,No
Female,0,No,No,56,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.78,4152.32,Yes
Male,0,No,No,18,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.67,1013.72,Yes
Female,1,Yes,No,25,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.3,1432.17,Yes
Female,0,No,No,48,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),59.3,2899.97,No
Male,0,Yes,No,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.47,643.58,No
Female,0,Yes,No,30,No,No phone service,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),51.71,1498.45,No
Female,0,Yes,Yes,66,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),86.52,5680.7,No
Male,1,No,Yes,10,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),104.01,956.16,Yes
Male,0,No,Yes,71,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,90.35,6384.96,No
Male,1,Yes,No,59,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),93.75,5527.17,No
Female,1,No,Yes,51,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),92.14,4714.79,No
Female,1,Yes,Yes,9,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,81.38,670.86,Yes
Female,0,Yes,Yes,54,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check,66.21,3618.8,No
Male,0,Yes,No,62,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,82.92,5135.12,No
Male,0,Yes,No,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.0,206.05,No
Female,0,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.13,267.8,No
Female,0,No,Yes,24,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Credit card (automatic),76.4,1802.3,No
Male,0,No,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.15,751.95,No
Male,0,Yes,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.77,233.73,No
Male,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.23,478.73,Yes
Male,0,No,Yes,66,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,97.8,6432.73,No
Female,0,No,Yes,10,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,86.91,854.65,No
Male,0,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.0,427.4,No
Female,0,Yes,No,59,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),85.85,5120.45,No
Female,1,No,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,26.71,776.37,No
Female,0,No,Yes,11,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),51.65,564.33,No
Male,0,Yes,No,6,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,60.96,399.43,No
Male,1,Yes,No,70,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,85.67,6058.02,No
Male,0,No,No,32,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,60.28,1863.57,No
Male,1,Yes,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.39,984.51,No
Female,0,No,No,48,No,No phone service,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),59.52,2820.77,No
Male,0,Yes,No,13,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),91.64,1208.52,No
Male,0,No,No,59,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),68.56,4041.94,No
Female,0,Yes,No,67,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),76.51,5135.82,No
Male,0,No,Yes,56,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Mailed check,70.41,3968.3,No
Female,0,No,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),30.74,1217.58,Yes
Female,0,Yes,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,24.64,1396.63,No
Female,0,No,Yes,35,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,87.15,3085.22,No
Female,1,Yes,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.06,817.11,Yes
Female,1,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),27.96,1821.13,No
Female,0,Yes,No,34,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,84.52,2779.43,No
Female,0,No,No,70,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),61.01,4258.02,No
Female,0,Yes,No,11,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),75.25,886.7,No
Male,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,69.74,1863.07,No
Male,0,Yes,No,48,No,No phone service,DSL,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,47.2,2274.31,No
Male,1,No,No,24,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),76.8,1856.09,No
Male,0,No,Yes,18,Yes,No,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),45.03,882.1,No
Female,0,Yes,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.45,664.04,No
Male,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),26.92,1500.85,No
Female,1,No,Yes,55,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,61.05,3358.79,No
Male,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),21.8,504.11,Yes
Male,0,No,Yes,59,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.28,1646.86,No
Male,0,No,Yes,34,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),61.73,2071.23,No
Female,0,No,No,58,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,91.18,5361.58,No
Male,0,Yes,Yes,48,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),68.93,3395.56,No
Female,1,No,No,54,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),48.05,2653.87,Yes
Female,0,No,No,18,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),73.31,1420.57,Yes
Male,0,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),66.52,189.99,Yes
Male,0,Yes,Yes,24,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,77.9,1825.89,No
Male,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,81.88,117.76,Yes
Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.28,155.12,No
Male,0,No,No,19,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),93.15,1798.39,Yes
Female,0,No,No,43,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,91.97,3926.46,No
Female,0,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,84.08,764.83,Yes
Male,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Electronic check,86.78,5997.06,No
Male,0,Yes,Yes,52,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),61.59,3145.13,No
Female,1,No,Yes,47,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.34,870.71,No
Female,0,No,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,27.77,806.54,No
Female,0,Yes,No,46,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,50.01,2255.49,No
Male,0,Yes,No,4,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,106.74,454.67,No
Female,0,Yes,No,8,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.23,608.79,No
Male,0,No,No,61,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,54.8,3289.13,No
Female,0,No,Yes,17,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,68.71,1134.89,Yes
Female,0,No,No,34,No,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,56.21,1918.47,Yes
Male,0,Yes,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),28.17,565.82,No
Female,0,No,No,34,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,51.36,1656.83,No
Male,0,Yes,Yes,43,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,68.86,2984.17,No
Male,1,No,Yes,10,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,58.26,593.07,No
Female,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,578.91,Yes
Male,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.96,624.55,No
Male,1,No,No,57,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),79.9,4539.75,Yes
Female,1,No,No,63,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),70.41,4438.63,No
Male,0,No,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,82.81,6000.85,No
Male,0,Yes,No,47,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),95.99,4472.34,No
Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,76.16,211.27,Yes
Female,0,No,No,46,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,91.92,4189.64,Yes
Male,0,Yes,No,36,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,63.25,2218.59,No
Female,0,Yes,No,26,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Electronic check,57.46,1474.13,No
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,No,No,No,No,One year,No,Electronic check,44.18,431.98,No
Male,0,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.0,572.27,No
Male,0,Yes,No,8,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),90.78,853.96,Yes
Male,0,Yes,No,55,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,82.28,4520.96,Yes
Female,0,Yes,Yes,10,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.85,210.2,No
Male,0,Yes,Yes,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),28.12,1646.89,No
Male,0,No,No,45,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,61.97,2741.44,Yes
Male,1,No,Yes,50,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),57.59,2871.02,No
Male,0,No,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.18,1208.71,No
Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),27.24,88.07,No
Female,0,No,No,45,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),86.67,3932.43,No
Female,0,No,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),37.1,2327.85,No
Male,1,Yes,No,14,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),52.16,767.1,No
Male,0,No,No,15,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),65.15,962.93,No
Male,0,No,No,14,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.28,1287.86,Yes
Male,0,No,No,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.0,666.4,No
Female,0,No,Yes,29,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),81.04,2369.5,Yes
Male,0,Yes,Yes,27,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),82.87,2238.26,No
Female,0,Yes,Yes,9,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),63.53,500.82,Yes
Female,0,No,No,20,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),64.79,1309.83,No
Male,0,Yes,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.79,1158.57,No
Female,0,Yes,No,49,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),60.05,2942.84,No
Female,1,No,No,57,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,88.33,4988.21,No
Female,0,No,Yes,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,85.56,1319.38,No
Female,0,Yes,Yes,8,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,81.97,650.86,No
Male,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.96,1564.96,No
Male,1,No,No,19,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Electronic check,92.34,1722.51,Yes
Female,0,No,Yes,67,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,84.6,5617.39,No
Male,0,Yes,Yes,36,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,67.74,2553.36,No
Male,0,Yes,No,60,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,64.28,3830.19,No
Male,0,Yes,Yes,36,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),115.8,4160.68,No
Male,0,Yes,No,11,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,64.26,701.34,No
Male,0,Yes,Yes,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.0,943.89,No
Female,0,Yes,No,55,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.14,4081.82,No
Male,0,Yes,No,54,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),70.61,3801.5,Yes
Male,0,No,No,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.92,783.63,No
Male,0,Yes,No,62,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),61.96,3842.88,Yes
Male,0,No,No,42,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,98.0,4074.25,No
Female,0,No,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.27,503.24,Yes
Female,0,Yes,Yes,17,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,76.38,1324.35,Yes
Female,0,No,No,48,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,56.11,2674.65,Yes
Female,0,No,No,70,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,67.8,4811.57,No
Male,0,Yes,No,7,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,82.0,568.98,Yes
Female,0,No,No,14,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,No,Mailed check,64.06,919.41,No
Male,0,Yes,No,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,65.64,753.77,No
Male,0,No,No,12,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),77.9,956.67,Yes
Male,0,Yes,No,5,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,51.59,218.35,No
Male,0,No,No,5,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),86.22,473.83,Yes
Male,0,Yes,No,20,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),100.61,2050.79,No
Female,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,30.53,1617.66,No
Female,0,Yes,No,55,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.31,4669.21,Yes
Female,0,No,Yes,58,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,83.52,4855.43,No
Female,0,No,No,30,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),66.91,2036.32,No
Male,1,Yes,Yes,24,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),61.31,1451.09,No
Female,1,No,No,3,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),82.03,258.22,Yes
Male,0,Yes,Yes,48,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),52.09,2466.97,Yes
Female,0,No,Yes,71,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,86.21,6114.22,Yes
Male,0,No,No,22,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,59.21,1295.4,No
Male,0,No,No,14,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,73.52,1136.34,No
Female,0,No,No,48,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,73.51,3573.84,No
Male,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.73,537.71,No
Male,0,Yes,No,50,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,82.32,4122.33,Yes
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,47.82,453.38,Yes
Male,0,No,No,71,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),72.07,5104.0,No
Female,0,Yes,No,27,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,85.07,2300.46,No
Female,0,No,No,28,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),86.38,2393.62,No
Female,0,No,No,9,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,62.1,579.64,No
Male,0,Yes,No,71,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.39,5445.45,No
Male,0,No,No,26,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,86.48,2367.53,Yes
Male,0,Yes,No,8,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,98.01,670.34,No
Female,1,Yes,No,2,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,101.17,188.08,Yes
Male,0,No,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.55,1305.07,No
Female,1,Yes,No,52,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),81.67,4118.14,No
Female,1,Yes,Yes,58,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,65.31,3806.3,No
Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.74,248.71,No
Female,0,Yes,No,8,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,64.98,555.7,No
Male,0,No,Yes,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.08,1106.44,No
Male,1,No,No,2,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,58.61,71.91,Yes
Male,0,Yes,No,62,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),87.85,5426.04,No
Male,0,Yes,No,49,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Mailed check,62.68,3136.9,No
Male,0,No,No,20,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,64.19,1189.15,No
Female,0,Yes,No,29,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),79.61,2286.75,No
Female,0,Yes,Yes,17,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.38,1298.41,Yes
Female,0,No,No,22,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,90.24,1953.64,No
Male,0,Yes,No,6,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),67.11,386.64,No
Male,1,No,No,62,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.29,6656.54,Yes
Male,0,Yes,Yes,31,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),66.12,2101.02,No
Female,1,Yes,Yes,62,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),78.21,4783.52,Yes
Male,0,Yes,No,12,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,96.13,1196.82,Yes
